mine_id,mine_name,state,commodity,mine_type,accident_class,equipment,date,fatalities
M001,Black Thunder Mine,WY,Coal,Surface,Powered Haulage,Haul Truck,2018-03-14,1
M001,Black Thunder Mine,WY,Coal,Surface,Powered Haulage,Haul Truck,2019-07-22,1
M002,Cumberland Mine,WV,Coal,Underground,Fall of Ground,Continuous Miner,2018-09-05,2
M002,Cumberland Mine,WV,Coal,Underground,Machinery,Roof Bolter,2020-02-18,1
M003,Foresight Hillsboro,IL,Coal,Underground,Fall of Ground,Longwall,2018-11-30,1
M003,Foresight Hillsboro,IL,Coal,Underground,Electrical,Continuous Miner,2021-06-09,1
M004,Antelope Mine,WY,Coal,Surface,Powered Haulage,Haul Truck,2019-04-11,1
M004,Antelope Mine,WY,Coal,Surface,Slip/Fall,Conveyor,2022-08-17,1
M005,Arch Coal Bailey,PA,Coal,Underground,Fall of Ground,Roof Bolter,2018-01-23,2
M005,Arch Coal Bailey,PA,Coal,Underground,Powered Haulage,Continuous Miner,2020-10-05,1
M006,Eagle Mine,CO,Gold,Underground,Fall of Ground,Roof Bolter,2019-02-14,1
M006,Eagle Mine,CO,Gold,Underground,Machinery,Continuous Miner,2021-09-28,1
M007,Bingham Canyon,UT,Copper,Surface,Powered Haulage,Haul Truck,2018-06-03,1
M007,Bingham Canyon,UT,Copper,Surface,Powered Haulage,Haul Truck,2020-03-19,1
M007,Bingham Canyon,UT,Copper,Surface,Slip/Fall,Dragline,2022-11-07,1
M008,Resolution Copper,AZ,Copper,Underground,Fall of Ground,Roof Bolter,2019-08-22,2
M008,Resolution Copper,AZ,Copper,Underground,Electrical,Continuous Miner,2021-04-15,1
M009,Mosaic Carlsbad,NM,Potash,Underground,Machinery,Continuous Miner,2018-12-04,1
M009,Mosaic Carlsbad,NM,Potash,Underground,Fall of Ground,Roof Bolter,2020-07-11,2
M010,Freeport Henderson,CO,Molybdenum,Underground,Fall of Ground,Continuous Miner,2019-05-18,1
M010,Freeport Henderson,CO,Molybdenum,Underground,Explosive,Roof Bolter,2021-01-30,1
M011,Iron Ore Mike Mine,MN,Iron,Surface,Powered Haulage,Haul Truck,2018-07-09,1
M011,Iron Ore Mike Mine,MN,Iron,Surface,Powered Haulage,Dragline,2022-03-25,1
M012,Tilden Mine,MI,Iron,Surface,Powered Haulage,Haul Truck,2019-11-14,1
M012,Tilden Mine,MI,Iron,Surface,Slip/Fall,Conveyor,2021-08-06,1
M013,Carlin Gold Mine,NV,Gold,Underground,Fall of Ground,Roof Bolter,2018-04-27,1
M013,Carlin Gold Mine,NV,Gold,Underground,Machinery,Continuous Miner,2020-09-12,1
M013,Carlin Gold Mine,NV,Gold,Underground,Powered Haulage,Haul Truck,2022-06-03,1
M014,Cortez Mine,NV,Gold,Underground,Fall of Ground,Longwall,2018-10-08,2
M014,Cortez Mine,NV,Gold,Underground,Electrical,Roof Bolter,2021-12-19,1
M015,Greens Creek Mine,AK,Silver,Underground,Fall of Ground,Continuous Miner,2019-03-31,1
M015,Greens Creek Mine,AK,Silver,Underground,Machinery,Roof Bolter,2021-07-22,1
M016,Red Dog Mine,AK,Zinc,Surface,Powered Haulage,Haul Truck,2018-08-15,1
M016,Red Dog Mine,AK,Zinc,Surface,Powered Haulage,Haul Truck,2020-12-04,1
M017,Leadville Mine,CO,Lead,Underground,Fall of Ground,Roof Bolter,2019-01-20,1
M017,Leadville Mine,CO,Lead,Underground,Slip/Fall,Conveyor,2021-10-17,1
